epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,344.131,1.9513,1.50569,0.28265,1.56082,1.5436,0.65277,0.48,0.57297,0.21033,0.76881,0.73169,0.79655,0.50256,2.1846,1.55459,0.13077,1.56043,2.06026,0.0014654,0.0014654,0.0014654
29,356.464,1.94752,1.54283,0.27151,1.67319,1.54276,0.7176,0.62,0.62556,0.2846,0.7851,0.73077,0.7886,0.61166,1.90512,1.06537,0.08648,1.48832,1.68707,0.0014456,0.0014456,0.0014456
30,368.796,1.89661,1.30631,0.29547,1.54155,1.47844,0.75338,0.6111,0.66779,0.28888,0.82205,0.7,0.80824,0.64724,1.77491,0.96899,0.11169,1.51924,1.60638,0.0014258,0.0014258,0.0014258
31,381.127,1.85145,1.38425,0.27591,1.52792,1.48655,0.63376,0.76,0.66352,0.27814,0.71948,0.76954,0.75262,0.54432,1.84485,1.25355,0.09806,1.50989,1.67509,0.001406,0.001406,0.001406
32,393.344,1.88087,1.36644,0.25916,1.48297,1.48743,0.69851,0.76,0.75156,0.31638,0.71283,0.78,0.80041,0.66139,1.86923,0.926,0.11134,1.41101,1.64469,0.0013862,0.0013862,0.0013862
33,405.622,1.81717,1.26258,0.26719,1.45456,1.45908,0.60026,0.7,0.69144,0.32069,0.6144,0.8,0.8003,0.61616,1.83709,1.0062,0.0954,1.41065,1.67843,0.0013664,0.0013664,0.0013664
34,417.769,1.76933,1.19183,0.25663,1.4404,1.4416,0.78541,0.58573,0.69882,0.33799,0.66345,0.82805,0.82583,0.66352,1.71873,0.96352,0.09441,1.56464,1.64396,0.0013466,0.0013466,0.0013466
35,430.072,1.7874,1.40825,0.28272,1.48791,1.53005,0.71491,0.6,0.5932,0.28669,0.70962,0.7,0.77668,0.62141,1.77315,0.97123,0.15837,1.62189,1.63135,0.0013268,0.0013268,0.0013268
36,442.358,1.81138,1.3576,0.26625,1.50009,1.44886,0.67226,0.6,0.65101,0.34977,0.64647,0.7681,0.8104,0.65131,1.66805,1.09783,0.13315,1.62518,1.57049,0.001307,0.001307,0.001307
37,454.367,1.72715,1.27406,0.25097,1.40817,1.39844,0.64137,0.68,0.67656,0.33926,0.75414,0.73624,0.80107,0.66752,1.66901,0.96882,0.11,1.68941,1.57152,0.0012872,0.0012872,0.0012872
38,466.607,1.74142,1.3286,0.25786,1.42913,1.42637,0.80059,0.58,0.67911,0.3136,0.91102,0.66,0.79856,0.6248,1.75845,1.22914,0.13035,1.51462,1.59725,0.0012674,0.0012674,0.0012674
39,478.716,1.71853,1.26227,0.23792,1.42724,1.42471,0.57807,0.72,0.66698,0.33081,0.74243,0.82,0.81059,0.67971,1.71012,0.8917,0.07723,1.41354,1.62319,0.0012476,0.0012476,0.0012476
40,491.128,1.7582,1.31634,0.25702,1.48476,1.42705,0.59513,0.62,0.6567,0.29942,0.75223,0.68,0.80558,0.62333,1.79073,1.07944,0.06336,1.48801,1.65336,0.0012278,0.0012278,0.0012278
41,503.245,1.69815,1.20296,0.23226,1.39889,1.39483,0.68704,0.52,0.63181,0.31051,0.74244,0.63427,0.75976,0.59983,1.87034,1.06001,0.12479,1.55043,1.656,0.001208,0.001208,0.001208
42,515.336,1.74748,1.20121,0.22889,1.34871,1.45452,0.70856,0.68,0.73121,0.387,0.81461,0.70309,0.85636,0.62336,1.73996,1.04374,0.09555,1.29046,1.57769,0.0011882,0.0011882,0.0011882
43,527.383,1.73707,1.08296,0.22923,1.33218,1.37147,0.80716,0.7,0.75057,0.40201,0.82501,0.8,0.86655,0.73815,1.63583,0.78279,0.08768,1.31271,1.50536,0.0011684,0.0011684,0.0011684
44,539.584,1.69561,1.13547,0.23339,1.36355,1.38376,0.78709,0.73936,0.76933,0.39177,0.72071,0.84,0.84649,0.68497,1.66255,0.88387,0.06963,1.31813,1.52844,0.0011486,0.0011486,0.0011486
45,551.626,1.69629,1.13687,0.26405,1.3246,1.39007,0.82919,0.7,0.79401,0.40549,0.81202,0.7,0.84767,0.69346,1.72782,1.02398,0.09236,1.29775,1.57274,0.0011288,0.0011288,0.0011288
46,563.674,1.65414,1.12501,0.21667,1.3269,1.34822,0.77965,0.77843,0.82725,0.43187,0.80162,0.84,0.88885,0.76302,1.72214,0.83693,0.09997,1.26296,1.54905,0.001109,0.001109,0.001109
47,575.933,1.65396,1.10004,0.20617,1.34121,1.35758,0.80072,0.66,0.76617,0.36913,0.81906,0.74,0.86694,0.74715,1.77191,0.82522,0.06516,1.31115,1.59476,0.0010892,0.0010892,0.0010892
48,588.134,1.61068,0.98674,0.22399,1.3171,1.34429,0.6584,0.69396,0.73371,0.39039,0.71046,0.82,0.81701,0.69253,1.73216,0.82099,0.05724,1.27493,1.60087,0.0010694,0.0010694,0.0010694
49,600.203,1.63633,1.14503,0.21704,1.2986,1.33408,0.74399,0.69753,0.77047,0.41364,0.86376,0.88769,0.91906,0.77342,1.65178,0.78869,0.05751,1.28482,1.53171,0.0010496,0.0010496,0.0010496
50,612.355,1.59015,1.09632,0.20874,1.26926,1.31261,0.62256,0.72582,0.73695,0.37374,0.7271,0.82,0.83143,0.70828,1.70439,0.92903,0.05974,1.36486,1.56931,0.0010298,0.0010298,0.0010298
51,624.483,1.63329,1.12682,0.2362,1.30091,1.35084,0.80025,0.74,0.79774,0.41382,0.93217,0.86,0.95053,0.8161,1.71036,0.7644,0.08721,1.19162,1.5304,0.00101,0.00101,0.00101
52,636.853,1.57048,1.13962,0.22337,1.28153,1.31621,0.87701,0.74,0.84194,0.45338,0.89151,0.82177,0.9526,0.83381,1.60816,0.72292,0.07547,1.12372,1.47655,0.0009902,0.0009902,0.0009902
53,649.145,1.50983,0.92613,0.20954,1.16081,1.30855,0.78102,0.72,0.79049,0.41687,0.84411,0.86646,0.95394,0.78602,1.71984,0.86767,0.06955,1.09564,1.57001,0.0009704,0.0009704,0.0009704
54,661.325,1.54129,1.0335,0.19352,1.22125,1.29976,0.79395,0.76,0.77463,0.40982,0.83316,0.79903,0.87458,0.73829,1.68106,0.84748,0.08458,1.20809,1.48874,0.0009506,0.0009506,0.0009506
55,673.556,1.54871,0.94037,0.20938,1.16301,1.28938,0.89955,0.71652,0.84354,0.47231,0.92038,0.92,0.95945,0.8284,1.59876,0.73916,0.08822,1.14549,1.45158,0.0009308,0.0009308,0.0009308
56,685.826,1.49094,0.84483,0.20841,1.13631,1.28316,0.86909,0.78,0.86678,0.47161,0.89137,0.8,0.91581,0.74223,1.60141,0.89653,0.04754,1.09127,1.46429,0.000911,0.000911,0.000911
57,697.927,1.55381,1.02117,0.20877,1.21373,1.2806,0.83711,0.82232,0.85167,0.45457,0.89588,0.88,0.94324,0.82958,1.62277,0.69732,0.05212,1.11972,1.46615,0.0008912,0.0008912,0.0008912
58,710.053,1.52432,0.8704,0.18775,1.17651,1.28021,0.88753,0.78925,0.82657,0.43359,0.90537,0.86,0.9379,0.75395,1.5835,0.83675,0.0533,1.13498,1.46938,0.0008714,0.0008714,0.0008714
59,722.282,1.5285,0.9739,0.19345,1.20862,1.28364,0.88555,0.77388,0.81627,0.43939,0.93319,0.83816,0.92205,0.76476,1.70581,0.82925,0.07068,1.22164,1.57454,0.0008516,0.0008516,0.0008516
60,734.322,1.50303,0.95903,0.2171,1.16353,1.27536,0.85204,0.72,0.80224,0.46465,0.86338,0.88,0.91478,0.79897,1.61703,0.76801,0.08727,1.19701,1.47072,0.0008318,0.0008318,0.0008318
61,746.459,1.4703,0.8323,0.20192,1.12815,1.24168,0.88292,0.64,0.78313,0.45924,0.82405,0.82,0.8846,0.79076,1.59275,0.68211,0.06372,1.17523,1.44809,0.000812,0.000812,0.000812
62,758.528,1.43172,0.82412,0.18775,1.12494,1.26547,0.75924,0.78,0.80432,0.46877,0.85716,0.88,0.90918,0.82677,1.65164,0.60945,0.05515,1.10896,1.49476,0.0007922,0.0007922,0.0007922
63,770.552,1.39115,0.74354,0.19064,1.07628,1.25074,0.7507,0.72276,0.79272,0.46378,0.85498,0.82,0.91037,0.77748,1.66073,0.72479,0.05565,1.11235,1.43948,0.0007724,0.0007724,0.0007724
64,782.632,1.40898,0.84198,0.17302,1.09749,1.23124,0.80066,0.72,0.80066,0.44481,0.89001,0.8,0.9366,0.77455,1.70716,0.75427,0.06498,1.15369,1.54417,0.0007526,0.0007526,0.0007526
65,794.771,1.42989,0.76318,0.17803,1.0759,1.22207,0.89401,0.67486,0.77814,0.43768,0.85892,0.85244,0.91245,0.7743,1.58976,0.72917,0.06412,1.14403,1.42551,0.0007328,0.0007328,0.0007328
66,807,1.43507,0.834,0.16993,1.08667,1.22411,0.77789,0.7,0.76927,0.4088,0.89529,0.85514,0.91429,0.76162,1.7103,0.72852,0.06755,1.14138,1.59481,0.000713,0.000713,0.000713
67,819.222,1.40406,0.74818,0.18174,1.06003,1.234,0.82996,0.72,0.78584,0.44205,0.85717,0.92,0.93559,0.80812,1.65893,0.63697,0.05972,1.06833,1.51766,0.0006932,0.0006932,0.0006932
68,831.33,1.436,0.69832,0.20371,1.08224,1.24838,0.77521,0.78,0.81043,0.45675,0.88155,0.89318,0.93002,0.78477,1.61997,0.7547,0.04392,1.05247,1.45507,0.0006734,0.0006734,0.0006734
69,843.436,1.41721,0.83895,0.18304,1.07444,1.22574,0.88525,0.77158,0.83537,0.47191,0.93394,0.84831,0.96578,0.8541,1.59133,0.53282,0.04742,1.04084,1.4193,0.0006536,0.0006536,0.0006536
70,855.736,1.34499,0.69619,0.19174,1.02783,1.18715,0.8044,0.72,0.79543,0.47303,0.90339,0.93521,0.96285,0.8511,1.56495,0.5567,0.0498,1.05139,1.42741,0.0006338,0.0006338,0.0006338
71,867.89,1.39094,0.74039,0.1853,1.02556,1.20053,0.87558,0.72,0.83012,0.47647,0.86711,0.94,0.97213,0.85793,1.66982,0.53372,0.04616,1.01218,1.463,0.000614,0.000614,0.000614
72,880.179,1.36149,0.74735,0.18362,1.02159,1.19149,0.91984,0.68866,0.82362,0.45457,0.9219,0.94436,0.98345,0.83758,1.66553,0.66284,0.03908,0.9986,1.49962,0.0005942,0.0005942,0.0005942
73,892.373,1.2916,0.73636,0.16476,0.95987,1.17718,0.89061,0.72,0.82084,0.45739,0.8991,0.89114,0.96412,0.8293,1.65881,0.64064,0.05587,1.08037,1.51487,0.0005744,0.0005744,0.0005744
74,904.61,1.34755,0.695,0.17993,0.99005,1.20876,0.85989,0.73653,0.80218,0.46407,0.89411,0.86,0.94166,0.77356,1.72556,0.73954,0.06477,1.1231,1.58948,0.0005546,0.0005546,0.0005546
75,916.695,1.34286,0.71052,0.16832,1.00581,1.19965,0.80547,0.76,0.81192,0.46277,0.8384,0.9,0.94331,0.8106,1.68996,0.70297,0.07246,1.10401,1.54796,0.0005348,0.0005348,0.0005348
76,929.011,1.30676,0.60953,0.17795,0.97914,1.17173,0.89757,0.7,0.82213,0.46568,0.87757,0.9,0.93931,0.82007,1.69545,0.72766,0.0696,1.0591,1.54873,0.000515,0.000515,0.000515
77,941.144,1.33116,0.66285,0.18552,1.00109,1.1682,0.95685,0.76,0.84505,0.45589,0.92502,0.92,0.96465,0.81506,1.75566,0.7537,0.05571,1.03373,1.56968,0.0004952,0.0004952,0.0004952
78,953.346,1.33697,0.6894,0.1737,0.99617,1.16682,0.81247,0.77986,0.83934,0.46527,0.93763,0.90209,0.95057,0.83352,1.6537,0.62703,0.05542,0.97776,1.47265,0.0004754,0.0004754,0.0004754
79,965.624,1.26661,0.68043,0.17681,0.98006,1.15775,0.9156,0.72,0.86169,0.47405,0.94114,0.96,0.98269,0.85312,1.72979,0.59118,0.07213,0.98792,1.51894,0.0004556,0.0004556,0.0004556
80,977.827,1.32017,0.75584,0.16287,0.99862,1.15707,0.89578,0.76,0.86559,0.49743,0.95804,0.91336,0.97895,0.87918,1.62054,0.53788,0.06307,0.94732,1.45692,0.0004358,0.0004358,0.0004358
81,990.169,1.31171,0.62674,0.16653,0.94529,1.14819,0.88445,0.76551,0.87111,0.50733,0.90009,0.90088,0.96476,0.84755,1.57971,0.57443,0.06288,0.92219,1.43439,0.000416,0.000416,0.000416
82,1002.38,1.26736,0.65874,0.16117,0.95171,1.14965,0.80236,0.76,0.84934,0.51353,0.92061,0.9278,0.96153,0.86259,1.57068,0.54545,0.06786,0.92733,1.40409,0.0003962,0.0003962,0.0003962
83,1014.62,1.29441,0.70842,0.1732,0.98828,1.14872,0.98683,0.66,0.86192,0.51715,0.86677,0.91087,0.95205,0.86515,1.58047,0.5308,0.05768,0.94541,1.40543,0.0003764,0.0003764,0.0003764
84,1026.93,1.19563,0.59698,0.16454,0.90611,1.11962,0.91988,0.68899,0.85807,0.50063,0.88628,0.92,0.95672,0.87409,1.5955,0.55088,0.04947,0.95111,1.41275,0.0003566,0.0003566,0.0003566
85,1039.09,1.21815,0.64858,0.15558,0.9228,1.13717,0.87801,0.71978,0.85841,0.52794,0.88383,0.91306,0.96834,0.86795,1.54525,0.55313,0.03997,0.9374,1.39181,0.0003368,0.0003368,0.0003368
86,1051.4,1.18602,0.59921,0.17375,0.89873,1.12518,0.86314,0.78,0.87222,0.48178,0.96502,0.94,0.98348,0.84846,1.57972,0.60251,0.03978,0.9383,1.44197,0.000317,0.000317,0.000317
87,1063.62,1.24192,0.60274,0.15726,0.92744,1.1348,0.90079,0.8,0.88214,0.50757,0.95842,0.92193,0.98501,0.87875,1.56848,0.56808,0.05105,0.89673,1.43234,0.0002972,0.0002972,0.0002972
88,1075.71,1.17824,0.55899,0.16467,0.9136,1.13603,0.86801,0.76,0.84941,0.51796,0.95844,0.92242,0.98712,0.8471,1.59494,0.64039,0.04818,0.87264,1.47608,0.0002774,0.0002774,0.0002774
89,1087.7,1.23824,0.60778,0.17274,0.90751,1.14338,0.88587,0.77629,0.84575,0.51227,0.93577,0.92,0.95398,0.84876,1.57812,0.64295,0.04407,0.87614,1.50659,0.0002576,0.0002576,0.0002576
90,1099.78,1.16005,0.58045,0.17226,0.87076,1.1014,0.92478,0.73771,0.87497,0.50879,0.93578,0.92,0.95114,0.86754,1.63387,0.63016,0.04917,0.90795,1.55497,0.0002378,0.0002378,0.0002378
91,1135.98,1.09265,0.38399,0.06007,0.78216,1.08727,0.88484,0.7685,0.8702,0.52081,0.97238,0.9,0.984,0.87378,1.59751,0.58837,0.0517,0.8759,1.51372,0.000218,0.000218,0.000218
92,1148.07,1.04892,0.35625,0.05195,0.74348,1.08385,0.86793,0.78868,0.84124,0.51781,0.941,0.95703,0.98291,0.87056,1.59891,0.57195,0.04661,0.86432,1.49229,0.0001982,0.0001982,0.0001982
93,1160.14,0.98148,0.32958,0.05634,0.7085,1.04664,0.92607,0.75172,0.83545,0.50509,0.95997,0.95933,0.9845,0.87195,1.60697,0.56278,0.04182,0.86836,1.48084,0.0001784,0.0001784,0.0001784
94,1172.43,1.01829,0.33443,0.04758,0.67901,1.06575,0.89347,0.76,0.8301,0.52318,0.977,0.96,0.98764,0.87065,1.59503,0.56031,0.03995,0.87493,1.46746,0.0001586,0.0001586,0.0001586
95,1184.44,0.98668,0.33412,0.04919,0.67771,1.03038,0.85203,0.80622,0.86947,0.53426,0.97944,0.95269,0.98549,0.86966,1.56283,0.58474,0.04149,0.87351,1.44084,0.0001388,0.0001388,0.0001388
96,1196.61,0.94856,0.30444,0.04259,0.64669,1.02192,0.84461,0.84,0.86934,0.53342,0.96802,0.96,0.98827,0.88171,1.55106,0.56038,0.03952,0.85861,1.41722,0.000119,0.000119,0.000119
97,1208.8,0.96843,0.32938,0.05784,0.66141,1.03535,0.85568,0.84,0.8495,0.52683,0.97213,0.96,0.98717,0.87352,1.56412,0.58927,0.04014,0.84848,1.42809,9.92e-05,9.92e-05,9.92e-05
98,1220.96,0.9624,0.30687,0.0446,0.66034,1.05304,0.88464,0.82,0.86359,0.52817,0.9681,0.96,0.98525,0.86719,1.579,0.60245,0.04052,0.87461,1.45429,7.94e-05,7.94e-05,7.94e-05
99,1233.08,0.9719,0.34019,0.05619,0.66521,1.0326,0.8711,0.81108,0.86058,0.52644,0.97925,0.94411,0.98673,0.86546,1.57438,0.6264,0.0397,0.86751,1.46026,5.96e-05,5.96e-05,5.96e-05
100,1245.2,0.93822,0.31078,0.04493,0.64942,1.03998,0.85117,0.80067,0.8409,0.51729,0.97915,0.93908,0.9865,0.86661,1.57832,0.60355,0.04089,0.86057,1.45546,3.98e-05,3.98e-05,3.98e-05
